itar,ihad,X_min,X_max,Q_min,Q_max,Z_min,Z_max,PhPerp_min,PhPerp_max,AUT
1,1,0.000269,0.000542.,-99999,99999,-99999,99999,-99999,99999,0.0
1,1,0.000542,0.000821.,-99999,99999,-99999,99999,-99999,99999,0.0
1,1,0.000821,0.001137.,-99999,99999,-99999,99999,-99999,99999,1.67e-06
1,1,0.001137,0.001489.,-99999,99999,-99999,99999,-99999,99999,3.57e-06
1,1,0.001489,0.001880.,-99999,99999,-99999,99999,-99999,99999,1.614e-05
1,1,0.00188,0.002325.,-99999,99999,-99999,99999,-99999,99999,2.883e-05
1,1,0.002325,0.002835.,-99999,99999,-99999,99999,-99999,99999,2.576e-05
1,1,0.002835,0.003432.,-99999,99999,-99999,99999,-99999,99999,6.247e-05
1,1,0.003432,0.004140.,-99999,99999,-99999,99999,-99999,99999,0.00010598
1,1,0.00414,0.005000.,-99999,99999,-99999,99999,-99999,99999,0.00013727
1,1,0.005,0.006123.,-99999,99999,-99999,99999,-99999,99999,0.00026179
1,1,0.006123,0.007766.,-99999,99999,-99999,99999,-99999,99999,0.00047341
1,1,0.007766,0.010347.,-99999,99999,-99999,99999,-99999,99999,0.00073773
1,1,0.010347,0.015154.,-99999,99999,-99999,99999,-99999,99999,0.0013717
1,1,0.015154,0.027715.,-99999,99999,-99999,99999,-99999,99999,0.00299636
1,1,0.027715,0.999994.,-99999,99999,-99999,99999,-99999,99999,0.05149761
